Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2023-06-21,778.4478759765625,779.2331890235233,766.7397572251617,769.1194585200877,24308946
2023-06-22,782.2554321289062,788.8948338899139,780.0899387150854,780.5420587415484,56596140
2023-06-23,782.2078247070312,790.0132566644794,777.7102124467696,779.3760033725223,21339218
2023-06-26,778.4241333007812,785.6584021791067,775.1638959666118,782.9217456214633,16130314
2023-06-27,789.3944702148438,796.2004388841344,779.8519032645225,781.9459938413746,33831864
2023-06-28,797.747314453125,799.5320905087439,790.2988374280397,794.8202701022742,59562950
2023-06-30,809.7648315429688,813.2868013543485,801.126503547637,811.0022646934046,40699016
2023-07-03,818.5220947265625,836.4650195597832,813.8578568689782,815.0477075369154,44104116
2023-07-04,822.5198974609375,831.4675971897127,815.6664045007061,820.2591813266209,38795188
2023-07-05,796.390869140625,818.6172562901628,794.1301528805213,816.8324802953441,37165754
2023-07-06,797.199951171875,803.3157720134685,790.2512348589079,796.2480706331622,52156544
2023-07-07,790.251220703125,797.1999368916196,788.2998772533539,792.4405342833114,19926336
2023-07-10,788.3712158203125,798.0328262809959,785.1586190841284,790.5367672298996,38398442
2023-07-11,784.5399780273438,797.6759182839835,783.1597395801282,791.4886945741436,50670426
2023-07-12,777.1866455078125,793.059300089919,774.4262267834906,787.8477192419859,70958358
2023-07-13,781.0655517578125,788.8471634159916,779.6139688187163,788.4902082197616,41913546
2023-07-14,782.6837768554688,787.0148217085513,778.1623442740598,787.0148217085513,24727214
2023-07-17,799.05615234375,800.5315556006672,777.2104817454754,785.3014665523787,49252928
2023-07-18,798.3898315429688,811.0022491500558,794.8202793900196,808.1466074276965,81076818
2023-07-19,802.0068969726562,803.7440904903161,797.1999121073454,800.1031359885194,32935134
2023-07-20,803.744140625,805.2909465210954,799.5796632124352,800.1270061491508,56210948
2023-07-21,797.556884765625,804.2438686081816,796.3670341244708,799.579630855587,42154248
2023-07-24,798.8181762695312,801.7928030146825,794.8678487126989,798.865758677818,32179444
2023-07-25,807.480224609375,808.6224928404387,798.818135211979,801.7927618042407,55992596
2023-07-26,804.6721801757812,808.9080601401223,803.3871647037367,808.9080601401223,24794358
2023-07-27,796.3194580078125,810.5262631557636,793.606563665649,809.0508599687148,59741302
2023-07-28,782.2078247070312,794.2967190449864,781.065556452594,790.7747494680452,41015684
2023-07-31,785.87255859375,788.5378706114549,779.9233051581197,785.3252737562144,34565006
2023-08-01,791.1317138671875,793.6065800321032,785.3014455592477,787.4193565216365,35394188
2023-08-02,780.7799682617188,786.0153109321723,777.2818190970052,781.4938786258715,28116322
2023-08-03,775.14013671875,785.9439576692986,772.4510625584766,780.5420471940243,57673946
2023-08-04,786.3485107421875,788.395077194218,775.4257045087109,778.2337637923647,37388304
2023-08-07,785.8964233398438,791.5363042964843,784.1354674624729,791.5363042964843,28300918
2023-08-08,785.25390625,787.9667426988258,781.5177865447993,786.1105639241752,43773828
2023-08-09,785.5394287109375,787.4431898226271,776.3061756996071,786.7292794057436,33361236
